,Unnamed: 0,Unnamed: 0.1,Total!!Estimate!!Population 16 years and over,Total!!Estimate!!Population 20 to 64 years,Employment/Population Ratio!!Estimate!!Population 16 years and over,Employment/Population Ratio!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 20 to 64 years,NCESDist,year,School District Type,Estimate!!Total!!Population 16 years and over,Estimate!!Employment/Population Ratio!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 20 to 64 years,Estimate!!Employment/Population Ratio!!Population 20 to 64 years,Estimate!!Unemployment rate!!Population 20 to 64 years
9,9,10,62240.0,47597.0,61.6,75.4,5.3,4.6,600047,2016,Unified,,,,,,
10,10,11,98402.0,70965.0,56.3,73.3,4.9,4.5,600153,2016,Unified,,,,,,
11,11,12,60453.0,44492.0,55.6,71.4,8.2,7.7,600158,2016,Unified,,,,,,
12,12,13,135133.0,105473.0,53.5,64.6,8.2,7.8,601332,2016,Unified,,,,,,
13,13,14,73578.0,53547.0,63.2,76.4,4.0,3.4,601414,2016,Unified,,,,,,
14,14,15,84152.0,62412.0,54.4,68.3,6.3,6.5,601620,2016,Unified,,,,,,
15,15,16,63244.0,49705.0,63.1,74.1,3.5,3.6,601770,2016,Unified,,,,,,
16,16,17,87885.0,70711.0,60.7,71.0,6.6,6.2,602430,2016,Unified,,,,,,
17,17,18,91087.0,70484.0,59.1,71.5,6.4,6.0,602850,2016,Unified,,,,,,
18,18,19,56367.0,45050.0,61.5,72.0,6.9,5.6,603600,2016,Unified,,,,,,
19,19,20,58339.0,46358.0,61.9,74.1,4.9,4.3,603690,2016,Unified,,,,,,
20,20,21,63126.0,49141.0,56.2,67.9,7.0,6.5,604440,2016,Unified,,,,,,
21,21,22,106709.0,76616.0,60.4,73.7,4.6,3.8,604740,2016,Unified,,,,,,
22,22,23,87626.0,63485.0,58.4,74.4,7.3,6.3,606450,2016,Unified,,,,,,
23,23,24,283529.0,212178.0,64.1,77.1,4.4,4.0,607440,2016,Unified,,,,,,
24,24,25,59274.0,44452.0,61.9,76.1,5.1,4.6,607500,2016,Unified,,,,,,
25,25,26,61319.0,49564.0,60.2,70.4,9.3,9.1,607970,2016,Unified,,,,,,
26,26,27,92286.0,69494.0,57.5,70.9,8.6,7.8,608370,2016,Unified,,,,,,
27,27,28,155255.0,121643.0,53.5,63.8,6.1,5.4,608460,2016,Unified,,,,,,
28,28,29,159107.0,119885.0,61.7,74.5,6.0,6.0,609030,2016,Unified,,,,,,
29,29,30,68438.0,52056.0,55.5,69.5,10.8,10.0,609070,2016,Unified,,,,,,
30,30,31,91392.0,70531.0,58.5,70.7,8.3,8.0,609390,2016,Unified,,,,,,
31,31,32,120722.0,92366.0,53.9,65.2,10.1,9.1,609620,2016,Unified,,,,,,
32,32,33,114727.0,81673.0,60.7,74.6,4.8,4.7,609640,2016,Unified,,,,,,
33,33,34,221646.0,176423.0,60.8,71.7,6.0,5.5,609850,2016,Unified,,,,,,
34,34,35,65755.0,49766.0,63.3,79.1,4.9,4.5,610050,2016,Unified,,,,,,
35,35,36,70047.0,49947.0,49.2,61.7,6.0,5.2,610620,2016,Unified,,,,,,
36,36,37,156428.0,97205.0,48.5,68.7,7.2,6.6,611110,2016,Unified,,,,,,
37,37,38,95735.0,74507.0,64.3,77.2,5.7,5.4,611460,2016,Unified,,,,,,
38,38,39,259386.0,196546.0,57.7,71.2,6.9,6.7,612330,2016,Unified,,,,,,
39,39,40,110540.0,83710.0,59.7,72.3,6.3,6.0,613360,2016,Unified,,,,,,
40,40,41,101611.0,77591.0,60.4,73.2,3.7,3.2,613890,2016,Unified,,,,,,
41,41,42,140553.0,114260.0,61.4,71.3,7.7,7.0,613920,2016,Unified,,,,,,
