,District,year,ENR_TOTAL,Percent Change,NCESDist
45365,Northern Humboldt Union High,2016,1739,-2.8491620111731844,0603030
109911,Northern Humboldt Union High,2017,1761,1.2650948821161587,0603030
179868,Northern Humboldt Union High,2018,1787,1.4764338444065872,0603030
225486,Northern Humboldt Union High,2019,1808,1.1751538891997761,0603030
44231,Arcohe Union Elementary,2015,412,,0603060
73247,Arcohe Union Elementary,2016,451,9.466019417475728,0603060
97781,Arcohe Union Elementary,2017,457,1.3303769401330376,0603060
148562,Arcohe Union Elementary,2018,455,-0.437636761487965,0603060
212466,Arcohe Union Elementary,2019,485,6.593406593406594,0603060
40808,Arena Union Elementary,2015,340,,0603090
70418,Arena Union Elementary,2016,313,-7.941176470588235,0603090
98420,Arena Union Elementary,2017,310,-0.9584664536741214,0603090
142810,Arena Union Elementary,2018,313,0.967741935483871,0603090
213251,Arena Union Elementary,2019,301,-3.8338658146964857,0603090
41102,Armona Union Elementary,2015,1608,,0603180
80829,Armona Union Elementary,2016,1542,-4.104477611940299,0603180
97222,Armona Union Elementary,2017,1463,-5.123216601815823,0603180
141499,Armona Union Elementary,2018,1510,3.2125768967874233,0603180
214020,Armona Union Elementary,2019,1517,0.4635761589403974,0603180
40403,Arvin Union,2015,3069,,0603270
74376,Arvin Union,2016,3028,-1.335940045617465,0603270
